FECHA,DEPARTAMENTO,MUNICIPIO,EVENTO,FALLECIDOS,HERIDOS,FAMILIAS,VIVIENDAS DESTRUIDAS,HECTAREAS,RECURSOS EJECUTADOS,VALOR KIT DE ALIMENTO,VALOR MATERIALES DE CONSTRUCCION
2019-01-07 12:00:00,CUNDINAMARCA,CAQUEZA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-07 12:00:00,MAGDALENA,SANTA MARTA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-08 12:00:00,CAUCA,PATIA,ACCIDENTE TRANSPORTE TERRESTRE,0,15,0,0,0.0,0.0,0.0,0.0
2019-01-08 12:00:00,META,PUERTO GAITAN,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-07 12:00:00,MAGDALENA,ZONA BANANERA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-07 12:00:00,LA GUAJIRA,BARRANCAS,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,4.0,0.0,0.0,0.0
2019-01-06 12:00:00,VALLE DEL CAUCA,GUADALAJARA DE BUGA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-08 12:00:00,CESAR,VALLEDUPAR,MOVIMIENTO EN MASA,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-08 12:00:00,VALLE DEL CAUCA,BUENAVENTURA,INUNDACION,1,0,0,0,0.0,0.0,0.0,0.0
2019-01-08 12:00:00,META,VILLAVICENCIO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-07 12:00:00,VALLE DEL CAUCA,CALI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,3.0,0.0,0.0,0.0
2019-01-07 12:00:00,BOYACA,GUATEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-07 12:00:00,BOYACA,TURMEQUE,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-07 12:00:00,MAGDALENA,ARACATACA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,1.0,0.0,0.0,0.0
2019-01-07 12:00:00,LA GUAJIRA,RIOHACHA,INCENDIO ESTRUCTURAL,0,0,1,0,0.0,0.0,0.0,0.0
2019-01-08 12:00:00,CUNDINAMARCA,SOACHA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,10.0,0.0,0.0,0.0
2019-01-09 12:00:00,SANTANDER,CALIFORNIA,ACCIDENTE TRANSPORTE TERRESTRE,2,0,0,0,0.0,0.0,0.0,0.0
2019-01-09 12:00:00,SANTANDER,LANDAZURI,MOVIMIENTO EN MASA,0,0,0,0,0.0,0.0,0.0,0.0
2019-01-08 12:00:00,ANTIOQUIA,BARBOSA,ACCIDENTE TRANSPORTE TERRESTRE,0,11,0,0,0.0,0.0,0.0,0.0
2019-01-03 12:00:00,ANTIOQUIA,APARTADO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,6.0,0.0,0.0,0.0
2019-01-01 12:00:00,ANTIOQUIA,ITAGUI,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,5.0,0.0,0.0,0.0
2019-01-08 12:00:00,CESAR,SAN DIEGO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,30.0,0.0,0.0,0.0
2019-01-09 12:00:00,ATLANTICO,LURUACO,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
2019-01-09 12:00:00,CUNDINAMARCA,FUSAGASUGA,ACCIDENTE TRANSPORTE TERRESTRE,1,20,0,0,0.0,0.0,0.0,0.0
2019-01-09 12:00:00,VALLE DEL CAUCA,BUENAVENTURA,ACCIDENTE TRANSPORTE TERRESTRE,0,12,0,0,0.0,0.0,0.0,0.0
2019-01-09 12:00:00,ANTIOQUIA,ANGOSTURA,INCENDIO DE COBERTURA VEGETAL,0,0,0,0,2.0,0.0,0.0,0.0
